Location,Wind Direction,Minimum Temperature,Datetime,Precipitation,Dew Point,Relative Humidity,Precipitation Cover,Temperature,Maximum Temperature,Visibility,Wind Speed,Heat Index,Weather Type,Pressure,Conditions
"Pune, MH, India",196,74.6,06/06/2011,0,72.8,82,4,79,86.1,4.1,3.4,93.3,"Drizzle, Sky Coverage Increasing",1002.1,Overcast
"Pune, MH, India",248.33,73.5,06/07/2011,0,70,71.74,0,80.4,89,4.1,3.4,95.9,Sky Coverage Increasing,1003.2,Partially cloudy
"Pune, MH, India",260,74.9,06/08/2011,0,70.3,70.8,0,81.2,90.2,4.1,6.9,94.3,,1002.4,Partially cloudy
"Pune, MH, India",270,78.2,06/09/2011,0,69.2,73.91,0,78.2,78.2,2.5,3.4,93.3,,1003,Partially cloudy
"Pune, MH, India",270,,06/10/2011,0,70,71.74,0,80.4,89,4.1,2.2,95.9,,1006.3,
"Pune, MH, India",263.33,,06/11/2011,0,70.3,70.8,0,81.2,90.2,4.1,6.9,94.3,,1005.5,
"Pune, MH, India",270,,06/12/2011,0,69.2,73.91,0,78.2,78.2,4.1,6.9,93.3,,1005.9,
"Pune, MH, India",270,75.5,06/13/2011,0.1,70.4,84.38,4,75.5,75.5,2.5,2.2,95.9,Sky Coverage Increasing,1006.3,"Rain, Partially cloudy"
"Pune, MH, India",263.33,72.2,06/14/2011,0.1,70.1,80.88,8,76.6,82.1,4.1,6.9,94.3,"Drizzle, Sky Coverage Increasing",1005.5,"Rain, Partially cloudy"
"Pune, MH, India",270,72.2,06/15/2011,0,70.6,81.46,4,76.8,81.8,4.1,6.9,85.5,"Light Drizzle, Sky Coverage Increasing",1005.9,Overcast
"Pune, MH, India",254.29,73.1,06/16/2011,0.2,69.8,82.36,12,75.8,80.7,4.6,6.9,82.7,"Drizzle, Light Drizzle, Light Rain, Sky Coverage Increasing",1005.3,"Rain, Overcast"
"Pune, MH, India",257.5,73.1,06/17/2011,0,71.1,83.82,4,76.6,82.5,4.1,8.1,88,"Drizzle, Light Drizzle, Sky Coverage Increasing",1003.3,Overcast
"Pune, MH, India",267.78,73.5,06/18/2011,0,69.3,74.35,0,78.3,84.5,4.1,11.4,88.1,"Drizzle, Sky Coverage Increasing",1003.8,Partially cloudy
"Pune, MH, India",267.78,74,06/19/2011,0,70.3,76.95,4,78.3,82.1,4.1,6.9,86,"Light Drizzle, Sky Coverage Increasing",1003.1,Overcast
"Pune, MH, India",272.22,74.4,06/20/2011,0,70.5,79.02,4,77.6,81.8,4.1,6.9,85.6,Sky Coverage Increasing,1003.8,Overcast
"Pune, MH, India",267.78,73.7,06/21/2011,0,70.2,78.76,4,77.5,82.1,4.1,9.2,86,"Drizzle, Light Drizzle, Light Rain, Sky Coverage Increasing",1004.7,Partially cloudy
"Pune, MH, India",270,74.9,06/22/2011,0,70.5,78.65,4,77.9,84.5,3.9,6.9,88.9,"Light Rain, Sky Coverage Increasing",1003.1,Partially cloudy
"Pune, MH, India",270,74.9,06/23/2011,0,70.3,75.65,0,78.9,84.5,4.1,6.9,89.5,"Rain, Sky Coverage Increasing",1002.9,Partially cloudy
"Pune, MH, India",270,74.9,06/24/2011,0,70.1,76.85,4,78.1,81.8,4.1,5.8,86.2,"Drizzle, Rain, Sky Coverage Increasing",1003.5,Partially cloudy
"Pune, MH, India",278.89,75.3,06/25/2011,0,69.3,72.92,0,78.9,83.9,4.1,11.4,87.3,"Drizzle, Sky Coverage Increasing",1002.7,Overcast
"Pune, MH, India",276.67,74.9,06/26/2011,0,70.6,81.42,4,76.8,80.7,3.7,6.9,84.6,"Drizzle, Light Drizzle, Rain, Sky Coverage Increasing, Smoke Or Haze",1002.5,Overcast
"Pune, MH, India",270,75.3,06/27/2011,0.3,70.7,79.4,8,77.7,83.6,4.1,6.9,88,"Light Drizzle, Rain, Light Rain, Sky Coverage Increasing",1002.8,"Rain, Overcast"
"Pune, MH, India",274.44,74.6,06/28/2011,0.1,71.4,84.02,8,76.7,80.9,3.7,9.2,85.1,"Drizzle, Rain, Light Rain, Sky Coverage Increasing",1002.8,"Rain, Overcast"
"Pune, MH, India",267.78,74,06/29/2011,0,69.7,76.86,4,77.7,82.5,4.6,10.3,86.7,"Drizzle, Rain, Sky Coverage Increasing",1003.8,Partially cloudy
"Pune, MH, India",265,73.1,06/30/2011,0,69.9,76.74,0,77.9,84.5,4.1,9.2,90.4,"Light Rain, Sky Coverage Increasing",1005.1,Partially cloudy
"Pune, MH, India",270,72.8,07/01/2011,0,70.1,75.71,0,78.7,85.7,4.2,5.8,90.7,"Light Drizzle, Sky Coverage Increasing",1005,Partially cloudy
"Pune, MH, India",267.5,73.5,07/02/2011,0,70.6,79.2,8,77.8,85.4,3.7,3.4,91.3,"Drizzle, Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",1004.6,Partially cloudy
"Pune, MH, India",260,73.5,07/03/2011,0,70.9,83.12,4,76.5,80,3.9,3.4,,"Light Rain, Sky Coverage Increasing",1005.1,Overcast
"Pune, MH, India",276.67,71,07/04/2011,0.2,70.1,79.2,4,77.3,83.6,4.1,5.8,88.2,Sky Coverage Increasing,1005.8,"Rain, Partially cloudy"
"Pune, MH, India",270,72.2,07/05/2011,0,70.1,76.96,4,78.3,85.7,3.7,5.8,91.4,Light Rain,1004.7,Partially cloudy
"Pune, MH, India",267.14,73.7,07/06/2011,0,70.7,84.12,8,75.9,79.4,4.1,4.7,,"Drizzle, Light Rain, Sky Coverage Increasing",1003.2,Overcast
"Pune, MH, India",275,73.5,07/07/2011,0.1,69.3,78.97,4,76.5,81.8,4.3,5.8,85.3,"Light Drizzle, Sky Coverage Increasing",1002.8,"Rain, Overcast"
"Pune, MH, India",270,71.7,07/08/2011,0.3,69.2,83.96,12,74.5,78.2,4.1,4.7,,"Light Drizzle, Light Rain, Sky Coverage Increasing",1006.3,"Rain, Overcast"
"Pune, MH, India",260,71.9,07/09/2011,0.4,70.7,89.56,16,74.1,79.4,4.1,3.4,,"Drizzle, Light Drizzle, Rain, Light Rain",1007.5,"Rain, Overcast"
"Pune, MH, India",267.78,71.3,07/10/2011,0,70.4,86.38,4,74.9,80.7,4.1,9.2,84.8,"Light Drizzle, Light Rain, Sky Coverage Increasing",1006.8,Overcast
"Pune, MH, India",276.67,73.5,07/11/2011,0.1,69.5,78.95,4,76.7,83,4.1,9.2,86.6,"Drizzle, Light Drizzle, Rain, Light Rain, Sky Coverage Increasing",1005.7,"Rain, Overcast"
"Pune, MH, India",275.56,72.6,07/12/2011,0,70.2,82.39,4,76.1,81.8,3.7,4.7,86.2,"Drizzle, Rain, Sky Coverage Increasing",1003.6,Overcast
"Pune, MH, India",247.5,72.8,07/13/2011,0.2,69.9,85.51,12,74.6,77.6,3.3,5.8,,"Light Rain, Sky Coverage Increasing",1002.7,"Rain, Overcast"
"Pune, MH, India",266.67,71.7,07/14/2011,0.6,69.5,86.3,16,74,77.3,3.7,4.7,,"Rain, Light Rain, Sky Coverage Increasing",1001.7,"Rain, Overcast"
"Pune, MH, India",262.5,72.6,07/15/2011,0,69.9,81.68,4,76.1,80.9,4.1,5.8,85.5,Sky Coverage Increasing,1000.9,Overcast
"Pune, MH, India",266.67,72.8,07/16/2011,0.1,71.3,87.29,4,75.4,81.2,4.1,3.4,85.4,"Drizzle, Light Rain, Sky Coverage Increasing, Smoke Or Haze",1000,"Rain, Overcast"
"Pune, MH, India",260,73.1,07/17/2011,1.1,72.9,94.39,20,74.7,78.2,3.4,2.2,,"Light Rain, Sky Coverage Increasing",999.6,"Rain, Overcast"
"Pune, MH, India",262,73.5,07/18/2011,1.2,72.4,92.56,24,74.8,77.3,2.9,3.4,,"Light Drizzle, Light Rain",1000.6,"Rain, Overcast"
"Pune, MH, India",260,73.1,07/19/2011,2,72.1,93.38,20,74.2,75.3,3.1,5.8,,"Light Drizzle, Light Rain",1002.7,"Rain, Overcast"
"Pune, MH, India",275.56,72.8,07/20/2011,0.3,70.5,85.3,8,75.4,80.3,4.1,9.2,83.6,"Drizzle, Light Drizzle, Light Rain, Sky Coverage Increasing",1003.2,"Rain, Overcast"
"Pune, MH, India",270,74.6,07/21/2011,0,69.9,80.71,4,76.3,79.1,3.6,11.4,,"Drizzle, Sky Coverage Increasing",1003.5,Partially cloudy
"Pune, MH, India",270,69.2,07/22/2011,0,69.5,81.87,4,74.7,80.7,3.4,6.9,84.6,"Light Drizzle, Sky Coverage Increasing",1003.5,Overcast
"Pune, MH, India",270,73.5,07/23/2011,0.1,70.1,81.83,4,76.2,81.8,3.7,5.8,85.3,"Rain, Sky Coverage Increasing",1002.2,"Rain, Overcast"
"Pune, MH, India",270,72.2,07/24/2011,0,70.3,84,4,75.6,81.2,3.9,6.9,85.2,Sky Coverage Increasing,1002,Partially cloudy
"Pune, MH, India",273.33,74.6,07/25/2011,0,70.8,78.49,0,78.2,84.8,4.3,6.9,90.9,"Light Drizzle, Sky Coverage Increasing",1002.9,Partially cloudy
"Pune, MH, India",265,71.9,07/26/2011,0.3,71.1,83.94,8,76.6,85.4,4.1,3.4,91.9,"Light Drizzle, Rain, Sky Coverage Increasing",1004.2,"Rain, Overcast"
"Pune, MH, India",266.67,73.5,07/27/2011,0,70.9,81.92,0,77.1,83.6,4.1,5.8,89.8,"Rain, Sky Coverage Increasing",1004.6,Partially cloudy
"Pune, MH, India",271.43,71.7,07/28/2011,0.7,70.1,82.23,8,76.1,83.9,4.1,5.8,89.4,"Rain, Light Rain, Sky Coverage Increasing",1004.7,"Rain, Overcast"
"Pune, MH, India",275,71,07/29/2011,1.1,71,89.72,16,74.2,77.3,4.1,4.7,,"Rain, Light Rain, Sky Coverage Increasing",1005.3,"Rain, Overcast"
"Pune, MH, India",275.71,72.2,07/30/2011,0.2,71.1,86.63,8,75.4,80.9,4.1,5.8,85,"Light Rain, Sky Coverage Increasing",1004.3,"Rain, Overcast"
"Pune, MH, India",270,71.7,07/31/2011,0.4,70.6,89.53,12,74,77.3,4.1,5.8,,"Light Drizzle, Rain, Light Rain, Sky Coverage Increasing",1004.3,"Rain, Overcast"
"Pune, MH, India",274,71.7,08/01/2011,0.2,70.5,90.84,8,73.3,77.1,3.9,3.4,,"Drizzle, Rain, Light Rain, Sky Coverage Increasing",1004.4,"Rain, Overcast"
"Pune, MH, India",278,71.9,08/02/2011,0,71.7,90.44,4,74.7,78.5,4.1,3.4,,"Drizzle, Light Drizzle, Rain, Sky Coverage Increasing",1003.1,Overcast
"Pune, MH, India",272.22,73.5,08/03/2011,0,70.3,83.98,4,75.6,78.9,4.1,6.9,,"Light Drizzle, Sky Coverage Increasing",1002.8,Overcast
"Pune, MH, India",275,72.2,08/04/2011,0,70.5,86.71,8,74.7,79.4,3.9,4.7,,"Light Drizzle, Light Rain, Sky Coverage Increasing",1003.6,Overcast
"Pune, MH, India",274.44,70.1,08/05/2011,0.1,71.3,86.41,8,75.1,80.7,4.1,5.8,84.6,"Light Drizzle, Rain, Light Rain, Sky Coverage Increasing",1003.1,"Rain, Overcast"
"Pune, MH, India",272.22,70.1,08/06/2011,0,71.4,85.25,4,75.6,80.7,3.7,5.8,84.6,"Drizzle, Light Drizzle, Light Rain, Sky Coverage Increasing",1002.9,Overcast
"Pune, MH, India",270,72.8,08/07/2011,0,70.1,83.59,4,75.5,80,3.7,10.3,,"Light Drizzle, Sky Coverage Increasing",1002.7,Overcast
"Pune, MH, India",270,73.5,08/08/2011,0,70.5,86.66,8,74.8,77.6,3.9,5.8,,"Light Drizzle, Rain, Light Rain, Sky Coverage Increasing",1002.4,Overcast
"Pune, MH, India",270,73.5,08/09/2011,0,69.9,82.05,4,75.8,78.2,4.1,9.2,,"Light Drizzle, Sky Coverage Increasing",1002.4,Overcast
"Pune, MH, India",270,73.7,08/10/2011,0,70,82.94,4,75.6,78.9,3.7,9.2,,"Drizzle, Light Drizzle, Light Rain, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze",1003.9,Overcast
"Pune, MH, India",263.33,74,08/11/2011,0,69.8,80.21,0,76.5,80.9,4.1,9.2,84.4,"Drizzle, Light Drizzle, Rain, Sky Coverage Increasing, Smoke Or Haze",1004.1,Overcast
"Pune, MH, India",265,73.1,08/12/2011,0.1,70.8,86.34,12,75.2,78.2,4.3,3.4,,"Drizzle, Rain, Light Rain, Sky Coverage Increasing",1002.7,"Rain, Overcast"
"Pune, MH, India",267.78,71.9,08/13/2011,0,70.8,87.87,4,74.7,80,4.1,3.4,,"Drizzle, Light Drizzle, Rain, Light Rain, Sky Coverage Increasing",1001.9,Overcast
"Pune, MH, India",270,72.8,08/14/2011,0,71,86.39,4,75.4,79.1,4.1,6.9,,"Light Drizzle, Sky Coverage Increasing",1004.4,Overcast
"Pune, MH, India",270,72.2,08/15/2011,0,70.7,84.73,0,75.8,81.8,4.1,5.8,86.2,"Drizzle, Light Drizzle, Sky Coverage Increasing",1006.2,Overcast
"Pune, MH, India",266.67,72.6,08/16/2011,0,70.6,85.44,8,75.4,80.7,4.1,3.4,84.1,"Light Drizzle, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",1006.1,Overcast
"Pune, MH, India",270,71.9,08/17/2011,0,70.1,85.55,4,74.9,80.7,4.1,4.7,84.6,"Light Drizzle, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",1005.8,Overcast
"Pune, MH, India",270,69.9,08/18/2011,0,69.3,82.08,0,75.4,82.5,4.1,5.8,87,"Light Drizzle, Sky Coverage Increasing",1005.5,Overcast
"Pune, MH, India",270,72.8,08/19/2011,0,70.2,80.23,0,77,85.4,4.1,4.7,91.3,,1004.7,Overcast
"Pune, MH, India",272.86,73.1,08/20/2011,0,70.2,78.48,0,77.7,85.4,4.1,5.8,90,,1004.7,Overcast
"Pune, MH, India",267.78,73.7,08/21/2011,0,70.1,80.85,4,76.6,81.2,4.1,6.9,84.8,"Sky Coverage Decreasing, Sky Coverage Increasing",1004.8,Overcast
"Pune, MH, India",270,72.8,08/22/2011,0,70.7,80.28,0,77.5,85.4,4.3,3.4,90.5,Light Drizzle,1005,Overcast
"Pune, MH, India",270,73.5,08/23/2011,0,70.5,81.54,0,76.8,83.6,4.1,4.7,88.6,"Light Drizzle, Light Rain, Sky Coverage Increasing",1005.9,Overcast
"Pune, MH, India",272.22,72.8,08/24/2011,0,69.9,82.92,4,75.6,82.7,4.1,4.7,87.2,"Drizzle, Light Rain, Sky Coverage Increasing",1005.5,Overcast
"Pune, MH, India",270,72.6,08/25/2011,0,69.4,86.75,4,73.6,75.3,4.1,4.7,,"Drizzle, Light Drizzle, Sky Coverage Increasing",1006.4,Overcast
"Pune, MH, India",270,72.2,08/26/2011,0.2,70.1,87.84,8,74,77.6,3.7,5.8,,"Drizzle, Light Drizzle, Light Rain, Sky Coverage Increasing",1006.9,"Rain, Overcast"
"Pune, MH, India",270,71,08/27/2011,1,69.7,93.25,28,71.8,73.5,3.7,5.8,,"Light Drizzle, Light Rain",1005.9,"Rain, Overcast"
"Pune, MH, India",262.5,71,08/28/2011,0.5,70,90.74,16,72.8,75.8,3.9,5.8,,"Light Drizzle, Light Rain",1003.8,"Rain, Overcast"
"Pune, MH, India",262,70.8,08/29/2011,1.3,70.8,93.49,4,72.8,74.4,2.5,3.4,,"Light Drizzle, Light Rain",1002,"Rain, Overcast"
"Pune, MH, India",262.5,71.9,08/30/2011,0.3,71.4,90.83,12,74.3,78,3.7,4.7,,"Light Drizzle, Light Rain, Sky Coverage Increasing",1002.3,"Rain, Overcast"
"Pune, MH, India",260,71.7,08/31/2011,0,71.7,84.99,0,76.8,84.3,4.1,3.4,89.5,Sky Coverage Increasing,1001.6,Overcast
"Pune, MH, India",267.14,72.6,09/01/2011,0.3,72.1,88.97,12,75.6,80,4.1,3.4,,"Light Drizzle, Rain, Light Rain, Sky Coverage Increasing",1001,"Rain, Overcast"
"Pune, MH, India",274,72.6,09/02/2011,0.4,71.7,89.38,12,75.1,78.9,4.1,4.7,,"Light Drizzle, Light Rain, Sky Coverage Increasing",1000.4,"Rain, Overcast"
"Pune, MH, India",230,73.1,09/03/2011,3.2,72.9,94.47,24,74.6,76.2,2.8,4.7,,"Light Drizzle, Rain, Light Rain",1000.2,"Rain, Overcast"
"Pune, MH, India",250,72.2,09/04/2011,0.4,71.2,86.81,8,75.5,79.4,3.3,4.7,,"Drizzle, Light Drizzle, Light Rain, Sky Coverage Increasing",1002,"Rain, Overcast"
"Pune, MH, India",265.56,72.2,09/05/2011,0,70.1,83.98,4,75.4,80.9,4.1,6.9,84,"Drizzle, Light Drizzle, Rain, Light Rain, Sky Coverage Increasing",1004.1,Overcast
"Pune, MH, India",265.56,72.8,09/06/2011,0.4,70.2,86.8,12,74.5,79.1,3.3,4.7,,"Drizzle, Rain, Light Rain, Sky Coverage Increasing",1004.3,"Rain, Overcast"
"Pune, MH, India",270,71.9,09/07/2011,0.3,70.6,87.86,12,74.5,79.1,2.7,4.7,,"Light Drizzle, Rain, Light Rain, Sky Coverage Increasing",1004.8,"Rain, Overcast"
"Pune, MH, India",267.78,72.6,09/08/2011,0,69.5,80.86,0,75.9,82.5,4.1,5.8,87.7,Sky Coverage Increasing,1005,Partially cloudy
"Pune, MH, India",267.78,72.2,09/09/2011,0,68.2,76.48,0,76.4,82.5,3.7,5.8,86.2,,1006.1,Overcast
"Pune, MH, India",270,71.9,09/10/2011,0,69.5,82.49,4,75.4,81.8,4.1,4.7,85.6,"Drizzle, Sky Coverage Increasing",1006.3,Partially cloudy
"Pune, MH, India",272.5,71.3,09/11/2011,0,69.6,87.25,4,73.7,78.9,3.7,4.7,,"Drizzle, Light Drizzle, Light Rain, Sky Coverage Increasing",1005.2,Overcast
"Pune, MH, India",260,71,09/12/2011,0,68.8,83.62,0,74.2,79.1,3.7,2.2,,"Light Drizzle, Sky Coverage Increasing",1004.5,Overcast
"Pune, MH, India",251.67,68.1,09/13/2011,0,68.7,79.76,0,75.8,85.7,4.1,2.2,89.7,,1004.6,Partially cloudy
"Pune, MH, India",266.67,72.2,09/14/2011,0,70.8,81.65,4,77.2,87.2,4.1,3.4,93.5,"Drizzle, Light Drizzle",1003.9,Partially cloudy
"Pune, MH, India",270,71.7,09/15/2011,0.5,71.3,84.48,12,76.6,85.7,4.1,3.4,91.8,"Drizzle, Light Drizzle, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Increasing",1003.9,"Rain, Overcast"
"Pune, MH, India",263.33,71.7,09/16/2011,0.5,68.7,81.68,4,75.1,83,4.1,4.7,85.7,"Light Rain, Sky Coverage Increasing",1005.9,"Rain, Partially cloudy"
"Pune, MH, India",262,70.4,09/17/2011,0,68.8,80.45,4,75.5,83.6,4.1,5.8,87.3,Drizzle,1006.6,Partially cloudy
"Pune, MH, India",273.33,71.9,09/18/2011,0,68.4,82.07,0,74.4,79.1,3.7,4.7,,"Light Drizzle, Sky Coverage Increasing",1007.6,Partially cloudy
"Pune, MH, India",270,67.7,09/19/2011,0,67.6,77.63,0,75.4,84.3,4.1,5.8,87.7,,1009.2,Partially cloudy
"Pune, MH, India",272.5,69.9,09/20/2011,0,68.8,83.89,4,74.2,84.3,4.1,3.4,88.7,"Light Rain, Sky Coverage Increasing",1010,Partially cloudy
"Pune, MH, India",267.14,68.1,09/21/2011,0,66.4,81.15,0,72.8,79.8,4.1,3.4,,Sky Coverage Increasing,1009.3,Partially cloudy
"Pune, MH, India",272.22,69.2,09/22/2011,0,65.8,76.68,0,74.2,83.6,4.1,4.7,84.9,,1008.5,Partially cloudy
"Pune, MH, India",276.67,66.8,09/23/2011,0,66.1,77.53,0,74.1,81.2,4.1,4.7,83.1,,1008.1,Partially cloudy
"Pune, MH, India",270,70.1,09/24/2011,0,66.1,76.19,0,74.5,82.5,4.1,4.7,84.1,,1008.6,Partially cloudy
"Pune, MH, India",273.33,68.1,09/25/2011,0,66.4,76.26,0,75.1,86.3,3.7,4.7,88.3,,1010,Partially cloudy
"Pune, MH, India",240,67.4,09/26/2011,0,65.2,70.63,0,76.5,87.2,4.1,4.7,86.9,,1010.6,Partially cloudy
"Pune, MH, India",273.33,68.6,09/27/2011,0,66,71.03,0,77,86.3,3.7,4.7,87.1,Smoke Or Haze,1009.7,Partially cloudy
"Pune, MH, India",280,69.9,09/28/2011,1.5,68.1,81.12,8,75.1,86.1,3.7,3.4,87.5,"Thunderstorm, Sky Coverage Increasing, Smoke Or Haze",1009.3,"Rain, Partially cloudy"
"Pune, MH, India",182,71,09/29/2011,1.4,69.7,84.86,4,75.1,86.3,3.3,3.4,89.3,"Light Rain, Sky Coverage Increasing, Smoke Or Haze",1009.4,"Rain, Partially cloudy"
"Pune, MH, India",70,70.1,09/30/2011,0,70.2,87.91,4,74.2,82.1,2.5,4.7,86,"Thunderstorm, Sky Coverage Increasing, Smoke Or Haze",1010,Partially cloudy
"Pune, MH, India",,72.2,10/01/2011,0.2,70.1,81.36,4,76.7,86.1,3.7,0,89.9,"Thunderstorm Without Precipitation, Sky Coverage Increasing, Smoke Or Haze",1009.4,"Rain, Overcast"
"Pune, MH, India",270,71.9,10/02/2011,0.6,72,89.81,8,75.4,83.4,3.3,1.1,88.1,"Rain, Sky Coverage Increasing",1009.6,"Rain, Overcast"
"Pune, MH, India",243.33,69.2,10/03/2011,0,68.3,79.31,0,75.8,85.4,3.3,3.4,87.9,Smoke Or Haze,1009.4,Partially cloudy
"Pune, MH, India",280,68.6,10/04/2011,0,67.7,79.13,0,75,82.5,4.1,3.4,85,Light Rain,1009.7,Partially cloudy
"Pune, MH, India",63.33,69.9,10/05/2011,0,68.4,77.13,0,77,88.1,4.1,2.2,90,Smoke Or Haze,1010,Partially cloudy
"Pune, MH, India",175,67.4,10/06/2011,0,67,74.76,4,76.7,87.9,3.7,2.2,89.1,"Sky Coverage Increasing, Smoke Or Haze",1011.8,Partially cloudy
"Pune, MH, India",260,68.3,10/07/2011,0,67.5,78.82,4,75.2,86.3,3.4,1.1,87.7,Light Drizzle,1011.2,Partially cloudy
"Pune, MH, India",180,69.9,10/08/2011,0.2,67.6,74.55,4,77.1,89,4.1,4.7,92.2,"Drizzle, Light Drizzle, Smoke Or Haze",1010.8,"Rain, Overcast"
"Pune, MH, India",100,69.9,10/09/2011,0.7,69.2,75.87,8,78.7,90.8,3.7,1.1,91,"Drizzle, Smoke Or Haze",1010.5,"Rain, Partially cloudy"
"Pune, MH, India",90,71.3,10/10/2011,0,69.2,73.66,0,79.9,91.1,3.3,5.8,93,Smoke Or Haze,1010.3,Partially cloudy
"Pune, MH, India",146,69.5,10/11/2011,3.6,70.7,82.11,12,77.2,89,2.8,5.8,94.3,"Thunderstorm, Light Rain",1011.2,"Rain, Overcast"
"Pune, MH, India",115,69.5,10/12/2011,2.6,70.9,89.99,12,74.3,84.5,2.8,2.2,89.5,"Thunderstorm, Light Rain, Sky Coverage Increasing, Smoke Or Haze",1011.4,"Rain, Overcast"
"Pune, MH, India",210,71.7,10/13/2011,0.1,71.6,85.55,8,76.6,82.7,3.7,3.4,88.5,"Rain, Thunderstorm, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Increasing, Smoke Or Haze",1009.7,"Rain, Overcast"
"Pune, MH, India",123.33,72.2,10/14/2011,0.1,71.6,80.34,4,78.7,89,3.3,2.2,95.1,"Sky Coverage Increasing, Smoke Or Haze",1008.9,"Rain, Partially cloudy"
"Pune, MH, India",142.5,70.1,10/15/2011,1.9,70,82.35,8,76.4,87.9,2.9,2.2,93.6,"Hail Showers, Drizzle, Thunderstorm",1009.2,"Rain, Partially cloudy"
"Pune, MH, India",,69.5,10/16/2011,0.2,69.6,83.02,4,75.6,87.9,3.3,0,94.5,"Drizzle, Light Drizzle, Thunderstorm Without Precipitation, Sky Coverage Increasing, Smoke Or Haze",1009.5,"Rain, Overcast"
"Pune, MH, India",76.67,71.7,10/17/2011,0,69.4,75.38,4,78.3,86.6,3.9,2.2,90.9,"Light Drizzle, Thunderstorm, Sky Coverage Increasing, Smoke Or Haze",1009.4,Overcast
"Pune, MH, India",,70.1,10/18/2011,0.3,70.1,83.19,4,75.9,83.9,3.3,0,88.2,"Thunderstorm, Sky Coverage Increasing",1010.3,"Rain, Overcast"
"Pune, MH, India",295,71.9,10/19/2011,0,70.1,79.7,4,77.8,88.4,2.9,2.2,91.7,"Sky Coverage Increasing, Smoke Or Haze",1008.3,Partially cloudy
"Pune, MH, India",90,68.6,10/20/2011,0,67.9,78.79,0,76.3,87.9,3.7,2.2,88.7,Smoke Or Haze,1008.4,Partially cloudy
"Pune, MH, India",70,64.7,10/21/2011,0,63.2,72.93,0,74.7,89,3.7,2.2,87.1,Smoke Or Haze,1009.3,Clear
"Pune, MH, India",150,61.1,10/22/2011,0,61.2,72.28,0,73,87.9,3.7,3.4,85.7,Smoke Or Haze,1010,Clear
"Pune, MH, India",90,61.1,10/23/2011,0,60.8,71.39,0,72.8,87.5,4.4,3.4,85.5,Smoke Or Haze,1011.2,Clear
"Pune, MH, India",90,60.5,10/24/2011,0,57.4,66.45,0,71.7,86.6,3.7,2.2,84.2,Smoke Or Haze,1011.5,Clear
"Pune, MH, India",80,56,10/25/2011,0,55.1,64.3,0,70.3,86.6,3.7,3.4,84.2,Smoke Or Haze,1010.9,Clear
"Pune, MH, India",100,59.3,10/26/2011,0,57.8,65.96,0,71.7,87.5,3.7,4.7,85.5,Smoke Or Haze,1010.9,Clear
"Pune, MH, India",85,63.8,10/27/2011,0,61.4,65.89,0,74.9,87.2,4.1,4.7,86.3,,1011.1,Partially cloudy
"Pune, MH, India",102.5,69.5,10/28/2011,0,64.4,69.71,0,75.6,85.2,3.3,5.8,86.2,,1010.8,Partially cloudy
"Pune, MH, India",107.5,69.9,10/29/2011,0,66,70.31,0,76.7,84.3,4.1,3.4,88.1,,1010.2,Partially cloudy
"Pune, MH, India",80,68.6,10/30/2011,0,66.1,74.5,0,75.8,87.2,3.7,2.2,89,Smoke Or Haze,1009.6,Partially cloudy
"Pune, MH, India",100,63.8,10/31/2011,0,61.7,69.92,0,74,87.2,3.6,4.7,85.8,Mist,1010,Clear
"Pune, MH, India",90,62.3,11/01/2011,0,62.9,72.97,0,73.3,86.1,3.7,2.2,86.4,Smoke Or Haze,1010.7,Clear
"Pune, MH, India",70,62.9,11/02/2011,0,63,75.09,0,72.3,86.1,3,1.1,86.2,Smoke Or Haze,1010.7,Clear
"Pune, MH, India",50,62.7,11/03/2011,0,62.6,72.38,0,73,85.7,3.7,3.4,86.2,Smoke Or Haze,1010.2,Clear
"Pune, MH, India",90,61.4,11/04/2011,0,62,72.45,0,72.5,86.1,3.3,3.4,85.9,Smoke Or Haze,1011,Clear
"Pune, MH, India",125,62,11/05/2011,0,63.1,70.59,0,74.3,87.2,3.3,3.4,87.5,Smoke Or Haze,1011.8,Clear
"Pune, MH, India",70,64.7,11/06/2011,0,61.9,68.21,0,74.6,87.9,3.3,3.4,86.7,Smoke Or Haze,1011.8,Clear
"Pune, MH, India",60,62,11/07/2011,0,59.1,67.09,0,72.7,89,3.7,3.4,86.6,Smoke Or Haze,1012.4,Clear
"Pune, MH, India",90,59.6,11/08/2011,0,58.8,67.9,0,71.8,86.6,3.7,2.2,84.9,Smoke Or Haze,1013.1,Clear
"Pune, MH, India",90,58.4,11/09/2011,0,57.5,68.58,0,71.8,87.5,3.7,1.1,83.5,Smoke Or Haze,1012.5,Clear
"Pune, MH, India",90,58.4,11/10/2011,0,56.7,66.3,0,70.9,87.5,3.7,1.1,84.7,Smoke Or Haze,1012.4,Clear
"Pune, MH, India",100,57.5,11/11/2011,0,57.1,64.6,0,72,90.6,3.7,2.2,88.4,Smoke Or Haze,1012.2,Clear
"Pune, MH, India",120,59.3,11/12/2011,0,58.3,64.79,0,73.1,89.9,3.7,2.2,87.3,Smoke Or Haze,1011.8,Clear
